School,City,State,Zip,Latitude,Longitude,Team_id
Middle Tennessee State,Murfreesboro,Tennessee,37127,35.763,-86.3722,1292
Minnesota,Minneapolis-Saint Paul,Minnesota,55455,44.977208,-93.228415,1278
Mississippi,Oxford,Mississippi,38655,34.3308,-89.4835,1279
Mississippi State,Starkville,Mississippi,39759,33.4255,-88.8791,1280
Mississippi Valley State,Itta Bena,Mississippi,38941,33.4798,-90.3394,1290
Missouri,Columbia,Missouri,65201,38.9382,-92.3049,1281
Missouri Kansas City,Kansas City,Missouri,64101,39.1024,-94.5986,1283
Missouri State,Springfield,Missouri,65801,37.2581,-93.3437,1282
Monmouth,West Long Branch,New Jersey,7764,40.2878,-74.0162,1284
Montana,Missoula,Montana,59801,46.8563,-114.0252,1285
Montana State,Bozeman,Montana,59715,45.6693,-111.0431,1286
Morehead State,Morehead,Kentucky,40351,38.199,-83.4436,1287
Morgan State,Baltimore,Maryland,21201,39.2946,-76.6252,1288
Mount St. Mary's,Emmitsburg,Maryland,21727,39.694,-77.3357,1291
Murray State,Murray,Kentucky,42071,36.6099,-88.3032,1293
Nebraska Lincoln,Lincoln,Nebraska,68501,40.8651,-96.8231,1304
Nebraska Omaha,Omaha,Nebraska,68101,41.2917,-96.1711,1303
Nevada Las Vegas,Paradise,Nevada,89119,36.107758,-115.135779,1424
Nevada Reno,Reno,Nevada,89501,39.5268,-119.8113,1305
New Hampshire,Durham,New Hampshire,3824,43.1174,-70.9197,1306
New Jersey Institute of Technology,Newark,New Jersey,7101,40.7361,-74.2251,1312
New Mexico,Albuquerque,New Mexico,87101,35.1996,-106.6448,1307
New Mexico State,Las Cruces,New Mexico,88001,32.2901,-106.7539,1308
New Orleans,New Orleans,Louisiana,70112,29.9605,-90.0753,1309
Niagara,Lewiston,New York,14092,43.1722,-79.0215,1310
Nicholls State,Thibodaux,Louisiana,70301,29.7992,-90.8096,1311
Norfolk State,Norfolk,Virginia,23500,36.8466,-76.2855,1313
North Carolina Agricultural and Technical State,Greensboro,North Carolina,27395,36.0446,-79.8596,1299
North Carolina Asheville,Asheville,North Carolina,28801,35.5971,-82.5565,1421
North Carolina Central,Durham,North Carolina,27701,35.9967,-78.8966,1300
North Carolina Chapel Hill,Chapel Hill,North Carolina,27514,35.9203,-79.0372,1314
North Carolina Charlotte,Charlotte,North Carolina,28201,35.26,-80.8042,1150
North Carolina Greensboro,Greensboro,North Carolina,27395,36.0446,-79.8596,1422
North Carolina State,Raleigh,North Carolina,27601,35.7727,-78.6324,1301
North Carolina Wilmington,Wilmington,North Carolina,28401,34.2726,-77.9633,1422
North Dakota,Grand Forks,North Dakota,58201,47.901,-97.0446,1315
North Dakota State,Fargo,North Dakota,58102,46.9209,-96.8318,1295
North Florida,Jacksonville,Florida,32099,30.3375,-81.7686,1316
North Texas,Denton,Texas,76201,33.2289,-97.1314,1317
Northeastern,Boston,Massachusetts,2101,42.3706,-71.027,1318
Northern Arizona,Flagstaff,Arizona,86001,35.1859,-111.662,1319
Northern Colorado,Greeley,Colorado,80631,40.385,-104.6806,1294
Northern Illinois,DeKalb,Illinois,60115,41.934369,-88.777783,1296
Northern Iowa,Cedar Falls,Iowa,50613,42.5241,-92.4497,1320
Northern Kentucky,Highland Heights,Kentucky,41099,39.0322,-84.459103,1297
Northwestern,Evanston,Illinois,60201,42.0546,-87.6943,1321
Northwestern State,Natchitoches,Louisiana,71457,31.7617,-93.0916,1322
Notre Dame,South Bend,Indiana,46601,41.6727,-86.2535,1323
Oakland,Rochester,Michigan,48306,42.7262,-83.1566,1324
Ohio,Athens,Ohio,45701,39.3178,-82.102,1325
Ohio State,Columbus,Ohio,43085,40.0999,-83.0157,1326
