Year,Player,High School,team
2010,Cory Joseph,"Findlay College Prep (Henderson, NV)"
2010,Jelan Kendrick,"Wheeler (Marietta, GA)"
2010,Brandon Knight,"Pine Crest School (Fort Lauderdale, FL)"
2010,Doron Lamb,"Oak Hill Academy (Mouth of Wilson, VA)"
2010,C.J. Leslie,"Word of God Academy (Raleigh, NC)"
2010,Kendall Marshall,"Bishop O'Connell (Arlington, VA)"
2010,Ray McCallum,"Detroit Country Day School (Beverly Hills, MI)"
2010,Fab Melo,"Sagemont School (Sagemont, FL)"
2010,Jayvaughn Pinkston,"Bishop Loughlin (Brooklyn, NY)"
2010,Jereme Richmond,"Waukegan (Waukegan, IL)"
2010,Josh Selby,"Lake Clifton (Baltimore, MD)"
2010,Joshua Smith,"Kentwood (Covington, WA)"
2010,Jared Sullinger,"Northland (Columbus, OH)"
2010,Deshaun Thomas,"Bishop Luers (Fort Wayne, IN)"
2010,Tristan Thompson,"Findlay College Prep (Henderson, NV)"
2010,Patric Young,"Providence School (Jacksonville, FL)"
2010,Kenny Boynton,"American Heritage School (Plantation, FL)"
2009,Avery Bradley,"Findlay College Prep (Henderson, NV)"
2009,Dominic Cheek,"Saint Anthony's (Jersey City, NJ)"
2009,DeMarcus Cousins,"LeFlore Magnet (Mobile, AL)"
2009,Derrick Favors,"South Atlanta (Atlanta, GA)"
2009,Abdul Gaddy,"Bellarmine Preparatory School (Tacoma, WA)"
2009,Tiny Gallon,"Oak Hill Academy (Mouth of Wilson, VA)"
2009,Xavier Henry,"Putnam City (Oklahoma City, OK)"
2009,John Henson,"Sickles (Tampa, FL)"
2009,Milton Jennings,"Pinewood Prep (Summerville, SC)"
2009,Wally Judge,"Arlington Country Day School (Jacksonville, FL)"
2009,Ryan Kelly,"Ravenscroft School (Raleigh, NC)"
2009,Tommy Mason-Griffin,"James Madison (Houston, TX)"
2009,Alex Oriakhi,"Tilton School (Tilton, NH)"
2009,Mason Plumlee,"Christ School (Arden, NC)"
2009,Renardo Sidney,"Fairfax (Los Angeles, CA)"
2009,Peyton Siva,"Franklin (Seattle, WA)"
2009,Michael Snaer,"Rancho Verde (Moreno Valley, CA)"
2009,Lance Stephenson,"Abraham Lincoln (Brooklyn, NY)"
2009,Dexter Strickland,"Saint Patrick (Elizabeth, NJ)"
2009,Dante Taylor,"National Christian Academy (Fort Washington, MD)"
2009,Maalik Wayns,"Roman Catholic (Philadelphia, PA)"
2009,David Wear,"Mater Dei (Santa Ana, CA)"
2009,Travis Wear,"Mater Dei (Santa Ana, CA)"
2009,Al-Farouq Aminu,"Norcross (Norcross, GA)"
2008,Luke Babbitt,"Galena (Reno, NV)"
2008,William Buford,"Libbey (Toledo, OH)"
2008,Ed Davis,"Benedictine (Richmond, VA)"
2008,DeMar DeRozan,"Compton (Compton, CA)"
2008,Larry Drew,"William Howard Taft (Woodland Hills, CA)"
2008,Michael Dunigan,"Farragut Career Academy (Chicago, IL)"
2008,Tyreke Evans,"American Christian School (Aston, PA)"
2008,JaMychal Green,"Saint Jude (Montgomery, AL)"
2008,Jrue Holiday,"Campbell Hall (North Hollywood, CA)"
2008,Scotty Hopson,"University Heights Academy (Hopkinsville, KY)"
2008,Brandon Jennings,"Oak Hill Academy (Mouth of Wilson, VA)"
2008,Sylven Landesberg,"Holy Cross (Flushing, NY)"
2008,Malcolm Lee,"John W. North (Riverside, CA)"
2008,Greg Monroe,"Helen Cox (Harvey, LA)"
2008,Byron Mullens,"Canal Winchester (Canal Winchester, OH)"
2008,Michael Rosario,"Saint Anthony's (Jersey City, NJ)"
2008,Samardo Samuels,"Saint Benedict's Preparatory School (Newark, NJ)"
2008,Iman Shumpert,"Oak Park and River Forest (Oak Park, IL)"
2008,Chris Singleton,"Dunwoody (Dunwoody, GA)"
2008,Kemba Walker,"Rice (New York, NY)"
2008,Willie Warren,"North Crowley (Fort Worth, TX)"
2008,Elliot Williams,"St. George's Independent School (Collierville, TN)"
2008,Tyler Zeller,"Washington (Washington, IN)"
2008,Cole Aldrich,"Thomas Jefferson (Bloomington, MN)"
2007,James Anderson,"Junction City (Junction City, AR)"
2007,Jerryd Bayless,"Saint Mary's (Phoenix, AZ)"
2007,Michael Beasley,"Notre Dame Preparatory School (Fitchburg, MA)"
2007,Nick Calathes,"Lake Howell (Winter Park, FL)"
2007,Jonny Flynn,"Niagara Falls (Niagara Falls, NY)"
2007,Austin Freeman,"DeMatha Catholic (Hyattsville, MD)"
2007,Eric Gordon,"North Central (Indianapolis, IN)"
2007,Donte Greene,"Towson Catholic (Towson, MD)"
2007,Blake Griffin,"Oklahoma Christian School (Edmond, OK)"
2007,James Harden,"Artesia (Lakewood, CA)"
2007,J.J. Hickson,"Wheeler (Marietta, GA)"
2007,Taylor King,"Mater Dei (Santa Ana, CA)"
2007,Kosta Koufos,"GlenOak (Canton, OH)"
2007,Gani Lawal,"Norcross (Norcross, GA)"
2007,Kevin Love,"Lake Oswego (Lake Oswego, OR)"
2007,Jai Lucas,"Bellaire (Bellaire, TX)"
2007,O.J. Mayo,"Huntington (Huntington, WV)"
2007,Patrick Patterson,"Huntington (Huntington, WV)"
2007,Derrick Rose,"Simeon Career Academy (Chicago, IL)"
2007,Kyle Singler,"South Medford (Medford, OR)"
2007,Nolan Smith,"Oak Hill Academy (Mouth of Wilson, VA)"
2007,Corey Stokes,"Saint Benedict's Preparatory School (Newark, NJ)"
2007,Chris Wright,"St. John's College (Washington, DC)"
2007,Darrell Arthur,"South Oak Cliff (Dallas, TX)"
2006,D.J. Augustin,"Hightower (Missouri City, TX)"
2006,Chase Budinger,"La Costa Canyon (Carlsbad, CA)"
2006,Demond Carter,"Reserve Christian School (Reserve, LA)"
2006,Earl Clark,"Rahway (Rahway, NJ)"
2006,Sherron Collins,"Crane Technical Preparatory (Chicago, IL)"
2006,Mike Conley,"Lawrence North (Indianapolis, IN)"
2006,Daequan Cook,"Paul Laurence Dunbar (Dayton, OH)"
2006,Javaris Crittenton,"Southwest Atlanta Christian Academy (Atlanta, GA)"
2006,Kevin Durant,"Montrose Christian School (Rockville, MD)"
2006,Wayne Ellington,"The Episcopal Academy (Newtown Square, PA)"
