School,Secondary Name,City,State,Type,Primary Conference
California Davis ,"University of California, Davis",Davis,California,State,Big West Conference
California Irvine ,"University of California, Irvine",Irvine,California,State,Big West Conference
California Los Angeles ,"University of California, Los Angeles",Los Angeles,California,State,Pac-12 Conference
California Polytechnic State University,,San Luis Obispo,California,State,Big West Conference
California Riverside ,"University of California, Riverside",Riverside,California,State,Big West Conference
California Santa Barbara ,"University of California, Santa Barbara",Santa Barbara,California,State,Big West Conference
"California State University, Bakersfield",,Bakersfield,California,State,Western Athletic Conference
"California State University, Fresno",,Fresno,California,State,Mountain West Conference
"California State University, Fullerton",,Fullerton,California,State,Big West Conference
"California State University, Long Beach",,Long Beach,California,State,Big West Conference
"California State University, Northridge",,Northridge,California,State,Big West Conference
"California State University, Sacramento",,Sacramento,California,State,Big Sky Conference
Campbell University,,Buies Creek,North Carolina,Private/Baptist,Big South Conference
Canisius College,,Buffalo,New York,Private/Catholic,Metro Atlantic Athletic Conference
Central Arkansas ,University of Central Arkansas,Conway,Arkansas,State,Southland Conference
Central Connecticut State University,,New Britain,Connecticut,State,Northeast Conference
Central Florida ,University of Central Florida,Orlando,Florida,State,American Athletic Conference
Central Michigan University,,Mount Pleasant,Michigan,State,Mid-American Conference
Charleston ,College of Charleston[A 4],Charleston,South Carolina,State,Colonial Athletic Association
Charleston Southern University,,Charleston,South Carolina,Private/Baptist,Big South Conference
Chicago State University[A 6],,Chicago,Illinois,State,Western Athletic Conference
Cincinnati ,University of Cincinnati,Cincinnati,Ohio,State,American Athletic Conference
Citadel ,The Citadel,Charleston,South Carolina,State,Southern Conference
Clemson University,,Clemson,South Carolina,State,Atlantic Coast Conference
Cleveland State University,,Cleveland,Ohio,State,Horizon League
Coastal Carolina University,,Conway,South Carolina,State,Sun Belt Conference
Colgate University,,Hamilton,New York,Private/Non-sectarian,Patriot League
Colorado Boulder ,University of Colorado Boulder,Boulder,Colorado,State,Pac-12 Conference
Colorado State University,,Fort Collins,Colorado,State,Mountain West Conference
Columbia University,,Manhattan,New York,Private/Non-sectarian,Ivy League
Connecticut ,University of Connecticut,Storrs,Connecticut,State,American Athletic Conference
Coppin State University,,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Cornell University,,Ithaca,New York,Private/Statutory state,Ivy League
Creighton University,,Omaha,Nebraska,Private/Catholic,Big East Conference
Dartmouth College,,Hanover,New Hampshire,Private/Non-sectarian,Ivy League
Davidson College,,Davidson,North Carolina,Private/Presbyterian,Atlantic 10 Conference
Dayton ,University of Dayton,Dayton,Ohio,Private/Catholic,Atlantic 10 Conference
Delaware ,University of Delaware,Newark,Delaware,Private-state hybrid,Colonial Athletic Association
Delaware State University,,Dover,Delaware,State,Mid-Eastern Athletic Conference
Denver ,University of Denver,Denver,Colorado,Private/Non-sectarian,The Summit League
DePaul University,,Chicago,Illinois,Private/Catholic,Big East Conference
Detroit Mercy ,University of Detroit Mercy,Detroit,Michigan,Private/Catholic,Horizon League
Drake University,,Des Moines,Iowa,Private/Non-sectarian,Missouri Valley Conference
Drexel University,,Philadelphia,Pennsylvania,Private/Non-sectarian,Colonial Athletic Association
Duke University,,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference
Duquesne University,,Pittsburgh,Pennsylvania,Private/Catholic,Atlantic 10 Conference
East Carolina University,,Greenville,North Carolina,State,American Athletic Conference
East Tennessee State University,,Johnson City,Tennessee,State,Southern Conference
Eastern Illinois University,,Charleston,Illinois,State,Ohio Valley Conference
Eastern Kentucky University,,Richmond,Kentucky,State,Ohio Valley Conference
Eastern Michigan University,,Ypsilanti,Michigan,State,Mid-American Conference
Eastern Washington University,,Cheney,Washington,State,Big Sky Conference
Elon University,,Elon,North Carolina,Private/Non-sectarian,Colonial Athletic Association
Evansville ,University of Evansville,Evansville,Indiana,Private/Methodist,Missouri Valley Conference
Fairfield University,,Fairfield,Connecticut,Private/Catholic,Metro Atlantic Athletic Conference
Fairleigh Dickinson University,,Hackensack,New Jersey,Private/Non-sectarian,Northeast Conference
Florida ,University of Florida,Gainesville,Florida,State,Southeastern Conference
Florida A&M University,,Tallahassee,Florida,State,Mid-Eastern Athletic Conference
Florida Atlantic University,,Boca Raton,Florida,State,Conference USA
Florida Gulf Coast University,,Fort Myers,Florida,State,Atlantic Sun Conference
Florida International University,,Miami,Florida,State,Conference USA
Florida State University,,Tallahassee,Florida,State,Atlantic Coast Conference
Fordham University,,Bronx,New York,Private/Catholic,Atlantic 10 Conference
Furman University,,Greenville,South Carolina,Private/Non-sectarian,Southern Conference
Gardner-Webb University,,Boiling Springs,North Carolina,Private/Baptist,Big South Conference
George Mason University,,Fairfax,Virginia,State,Atlantic 10 Conference
George Washington University,,Washington,District of Columbia,Private/Non-sectarian,Atlantic 10 Conference
Georgetown University,,Washington,District of Columbia,Private/Catholic,Big East Conference
Georgia ,University of Georgia,Athens,Georgia,State,Southeastern Conference
Georgia Institute of Technology,,Atlanta,Georgia,State,Atlantic Coast Conference
Georgia Southern University,,Statesboro,Georgia,State,Sun Belt Conference
Georgia State University,,Atlanta,Georgia,State,Sun Belt Conference
Gonzaga University,,Spokane,Washington,Private/Catholic,West Coast Conference
Grambling State University,,Grambling,Louisiana,State,Southwestern Athletic Conference
Hampton University,,Hampton,Virginia,Private/Non-sectarian,Mid-Eastern Athletic Conference
Hartford ,University of Hartford,West Hartford,Connecticut,Private/Non-sectarian,America East Conference
Harvard University,,Cambridge[A 8],Massachusetts,Private/Non-sectarian,Ivy League
Hawaii Mہnoa ,University of Hawaii at Manoa,Honolulu,Hawaii,State,Big West Conference
High Point University,,High Point,North Carolina,Private/Methodist,Big South Conference
Hofstra University,,Hempstead,New York,Private/Non-sectarian,Colonial Athletic Association
Holy Cross ,College of the Holy Cross,Worcester,Massachusetts,Private/Catholic,Patriot League
Houston ,University of Houston,Houston,Texas,State,American Athletic Conference
Houston Baptist University,,Houston,Texas,Private/Baptist,Southland Conference
Howard University,,Washington,District of Columbia,Private/Non-sectarian,Mid-Eastern Athletic Conference
Idaho ,University of Idaho,Moscow,Idaho,State,Big Sky Conference
Idaho State University,,Pocatello,Idaho,State,Big Sky Conference
Illinois Chicago ,University of Illinois at Chicago,Chicago,Illinois,State,Horizon League
Illinois State University,,Normal,Illinois,State,Missouri Valley Conference
Illinois Urbana Champaign ,University of Illinois at Urbana-Champaign,Urbana-Champaign,Illinois,State,Big Ten Conference
Indiana University Bloomington ,Indiana University,Bloomington,Indiana,State,Big Ten Conference
Indiana State University,,Terre Haute,Indiana,State,Missouri Valley Conference
Indiana University Purdue University Fort Wayne ,Indiana University - ,Fort Wayne,Indiana,State,The Summit League
Indiana University Purdue University Indianapolis ,Indiana University - ,Indianapolis,Indiana,State,The Summit League
Iona College,,New Rochelle,New York,Private/Catholic,Metro Atlantic Athletic Conference
Iowa ,University of Iowa,Iowa City,Iowa,State,Big Ten Conference
Iowa State University,,Ames,Iowa,State,Big 12 Conference
Jackson State University,,Jackson,Mississippi,State,Southwestern Athletic Conference
Jacksonville ,Jacksonville University,Jacksonville,Florida,Private/Non-Sectarian,Atlantic Sun Conference
Jacksonville State University,,Jacksonville,Alabama,State,Ohio Valley Conference
James Madison University,,Harrisonburg,Virginia,State,Colonial Athletic Association
Kansas ,University of Kansas,Lawrence,Kansas,State,Big 12 Conference
Kansas State University,,Manhattan,Kansas,State,Big 12 Conference
Kennesaw State University,,Kennesaw,Georgia,State,Atlantic Sun Conference
Kent State University,,Kent,Ohio,State,Mid-American Conference
Kentucky ,University of Kentucky,Lexington,Kentucky,State,Southeastern Conference
La Salle University,,Philadelphia,Pennsylvania,Private/Catholic,Atlantic 10 Conference
Lafayette College,,Easton,Pennsylvania,Private/Presbyterian,Patriot League
Lamar University,,Beaumont,Texas,State,Southland Conference
Lehigh University,,Bethlehem,Pennsylvania,Private/Non-Sectarian,Patriot League
Liberty University,,Lynchburg,Virginia,Private/Baptist,Big South Conference
Lipscomb University,,Nashville,Tennessee,Private/Churches of Christ,Atlantic Sun Conference
Long Island University-Brooklyn,,Brooklyn,New York,Private/Non-Sectarian,Northeast Conference
Longwood University,,Farmville,Virginia,State,Big South Conference
Louisiana Lafayette ,University of Louisiana at Lafayette,Lafayette,Louisiana,State,Sun Belt Conference
Louisiana Monroe ,University of Louisiana at Monroe,Monroe,Louisiana,State,Sun Belt Conference
Louisiana State University,,Baton Rouge,Louisiana,State,Southeastern Conference
Louisiana Tech University,,Ruston,Louisiana,State,Conference USA
Louisville ,University of Louisville,Louisville,Kentucky,State,Atlantic Coast Conference
Loyola University Chicago,,Chicago,Illinois,Private/Catholic,Missouri Valley Conference
Loyola University Maryland,,Baltimore,Maryland,Private/Catholic,Patriot League
Loyola Marymount University,,Los Angeles,California,Private/Catholic,West Coast Conference
Maine ,University of Maine,Orono,Maine,State,America East Conference
Manhattan College,,Riverdale,New York,Private/Catholic,Metro Atlantic Athletic Conference
Marist College,,Poughkeepsie,New York,Private/Catholic,Metro Atlantic Athletic Conference
Marquette University,,Milwaukee,Wisconsin,Private/Catholic,Big East Conference
Marshall University,,Huntington,West Virginia,State,Conference USA
Maryland Baltimore County ,"University of Maryland, Baltimore County",Catonsville,Maryland,State,America East Conference
Maryland College Park ,"University of Maryland, College Park",College Park,Maryland,State,Big Ten Conference
Maryland Eastern Shore ,University of Maryland Eastern Shore,Princess Anne,Maryland,State,Mid-Eastern Athletic Conference
Massachusetts Amherst ,University of Massachusetts Amherst,Amherst,Massachusetts,State,Atlantic 10 Conference
McNeese State University,,Lake Charles,Louisiana,State,Southland Conference
Memphis ,University of Memphis,Memphis,Tennessee,State,American Athletic Conference
Mercer University,,Macon,Georgia,Private/Non-Sectarian,Southern Conference
Miami ,University of Miami,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference
Miami University,,Oxford,Ohio,State,Mid-American Conference
Michigan ,University of Michigan,Ann Arbor,Michigan,State,Big Ten Conference
Michigan State University,,East Lansing,Michigan,State,Big Ten Conference
Middle Tennessee State University,,Murfreesboro,Tennessee,State,Conference USA
Minnesota ,University of Minnesota,Minneapolis-Saint Paul,Minnesota,State,Big Ten Conference
Mississippi ,University of Mississippi,Oxford,Mississippi,State,Southeastern Conference
Mississippi State University,,Starkville,Mississippi,State,Southeastern Conference
Mississippi Valley State University,,Itta Bena,Mississippi,State,Southwestern Athletic Conference
Missouri ,University of Missouri,Columbia,Missouri,State,Southeastern Conference
Missouri Kansas City ,University of Missouri-Kansas City,Kansas City,Missouri,State,Western Athletic Conference
Missouri State University,,Springfield,Missouri,State,Missouri Valley Conference
Monmouth University,,West Long Branch,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Montana ,University of Montana,Missoula,Montana,State,Big Sky Conference
Montana State University,,Bozeman,Montana,State,Big Sky Conference
Morehead State University,,Morehead,Kentucky,State,Ohio Valley Conference
Morgan State University,,Baltimore,Maryland,State,Mid-Eastern Athletic Conference
Mount St. Mary's University,,Emmitsburg,Maryland,Private/Catholic,Northeast Conference
Murray State University,,Murray,Kentucky,State,Ohio Valley Conference
Nebraska Lincoln ,University of Nebraska-Lincoln,Lincoln,Nebraska,State,Big Ten Conference
Nebraska Omaha ,University of Nebraska Omaha,Omaha,Nebraska,State,The Summit League
Nevada Las Vegas ,"University of Nevada, Las Vegas",Paradise,Nevada,State,Mountain West Conference
Nevada Reno ,"University of Nevada, Reno",Reno,Nevada,State,Mountain West Conference
New Hampshire ,University of New Hampshire,Durham,New Hampshire,State,America East Conference
New Jersey Institute of Technology,,Newark,New Jersey,State,Atlantic Sun Conference
New Mexico ,University of New Mexico,Albuquerque,New Mexico,State,Mountain West Conference
New Mexico State University,,Las Cruces,New Mexico,State,Western Athletic Conference
New Orleans ,University of New Orleans,New Orleans,Louisiana,State,Southland Conference
Niagara University,,Lewiston,New York,Private/Catholic,Metro Atlantic Athletic Conference
Nicholls State University,,Thibodaux,Louisiana,State,Southland Conference
Norfolk State University,,Norfolk,Virginia,State,Mid-Eastern Athletic Conference
North Carolina Agricultural and Technical State University,,Greensboro,North Carolina,State,Mid-Eastern Athletic Conference
North Carolina Asheville ,University of North Carolina at Asheville,Asheville,North Carolina,State,Big South Conference
North Carolina Central University,,Durham,North Carolina,State,Mid-Eastern Athletic Conference
North Carolina Chapel Hill ,University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,State,Atlantic Coast Conference
North Carolina Charlotte ,University of North Carolina at Charlotte,Charlotte,North Carolina,State,Conference USA
North Carolina Greensboro ,University of North Carolina at Greensboro,Greensboro,North Carolina,State,Southern Conference
North Carolina State University,,Raleigh,North Carolina,State,Atlantic Coast Conference
North Carolina Wilmington ,University of North Carolina at Wilmington,Wilmington,North Carolina,State,Colonial Athletic Association
North Dakota ,University of North Dakota,Grand Forks,North Dakota,State,Big Sky Conference
North Dakota State University,,Fargo,North Dakota,State,The Summit League
North Florida ,University of North Florida,Jacksonville,Florida,State,Atlantic Sun Conference
North Texas ,University of North Texas,Denton,Texas,State,Conference USA
Northeastern University,,Boston,Massachusetts,Private/Non-Sectarian,Colonial Athletic Association
Northern Arizona University,,Flagstaff,Arizona,State,Big Sky Conference
